name,link,price,cashback
"
Смартфон POCO C51 2/64Гб Blue (MZB0F0ARU) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/353dc27f-2c6a-11ee-8117-b9090afac2f4/,"
5 990 ",300
"
Смартфон Realme Note 50 3/64Гб Blue (RMX3834) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/c76bb43d-c1c0-11ee-8121-ccae40f1d1a6/,"
6 490 ",325
"
Смартфон Realme Note 50 3/64Гб Black (RMX3834) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/999dda8d-d16c-11ee-80e8-c445fce7734/,"
6 490 ",325
"
Смартфон Huawei P Smart 2021 4/128Гб Crush Green (51095YQE) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/346e0429-5fa8-11eb-80d1-d822e0a48323-fc60abcc-5f70-11ed-8106-ac952307dbc9/,"
6 990 ",350
"
Смартфон iTel A60s 4/128 Glacier Green (A662LM) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/7f1f0aca-bc55-11ee-8121-ccae40f1d1a6/,"
6 990 ",350
"
Смартфон Xiaomi Redmi A3 3/64GB Midnight Black (23129RN51X) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/21244b42-ccd0-11ee-80e8-c445fce7734/,"
6 990 ",350
"
Смартфон Xiaomi Redmi A3 3/64GB Star Blue (23129RN51X) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/f21149ad-d16c-11ee-80e8-c445fce7734/,"
6 990 ",350
"
Смартфон Xiaomi Redmi A3 3/64GB Forest Green (23129RN51X) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/3696601d-f598-11ee-80eb-96ac15dec332/,"
6 990 ",350
"
Смартфон iTel A70 3/128 Starlish Black (A665L) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/31a99730-cb3b-11ee-80e6-8ad50213adda/,"
7 490 ",375
"
Смартфон iTel A70 3/128 Field Green (A665L) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/32bcac59-f26f-11ee-80ea-bfd57f4940da/,"
7 490 ",375
"
Смартфон Realme Note 50 4/128Гб Black (RMX3834) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/04fa743d-c1c3-11ee-8121-ccae40f1d1a6/,"
7 990 ",400
"
Смартфон Realme Note 50 4/128Гб Blue (RMX3834) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/20e3bb03-c1c4-11ee-8121-ccae40f1d1a6/,"
7 990 ",400
"
Смартфон iTel A70 4/256 Starlish Black (A665L) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/f5a20886-9e79-11ee-8120-dd7cbfe4cc23/,"
8 990 ",450
"
Смартфон iTel A70 4/256 Azure Blue (A665L) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/635a7d2e-b604-11ee-8120-dd7cbfe4cc23/,"
8 990 ",450
"
Смартфон iTel A70 4/256 Brilliant Gold (A665L) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/89d6c8e1-b604-11ee-8120-dd7cbfe4cc23/,"
8 990 ",450
"
Смартфон iTel A70 4/256 Field Green (A665L) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/b80ffa9b-b604-11ee-8120-dd7cbfe4cc23/,"
8 990 ",450
"
Смартфон Xiaomi Redmi A3 4/128GB Midnight Black (23129RN51X) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/261ad0cb-ccd2-11ee-80e8-c445fce7734/,"
8 990 ",450
"
Смартфон Xiaomi Redmi A3 4/128GB Star Blue (23129RN51X) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/84c1c606-ccd2-11ee-80e8-c445fce7734/,"
8 990 ",450
"
Смартфон Xiaomi Redmi A3 4/128GB Forest Green (23129RN51X) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/e0b448d6-ccd2-11ee-80e8-c445fce7734/,"
8 990 ",450
"
Смартфон Infinix Smart 8 4/128Gb Timber Black (X6525) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/aae48203-a335-11ee-8120-dd7cbfe4cc23/,"
9 590 ",480
"
Смартфон Xiaomi Redmi 12C 4/128GB Lavender Purple (22126RN91Y) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/43a5c965-fb8d-11ed-8116-fa6f16a70c4e/,"
9 990 ",500
"
Смартфон Realme C51 4/128Гб Black (RMX3830) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/e4098f77-4d52-11ee-8119-a680ca079f5d/,"
9 990 ",500
"
Смартфон Realme C51 4/128Гб Green (RMX3830) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/f8e1dda3-4d53-11ee-8119-a680ca079f5d/,"
9 990 ",500
"
Смартфон Tecno Spark 20c 4/128Gb Gravity Black (BG7N) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/cc967c86-bc5a-11ee-8121-ccae40f1d1a6/,"
9 990 ",500
"
Смартфон Tecno Spark 20c 4/128Gb Mystery White (BG7N) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/2c58a3df-cb3e-11ee-80e6-8ad50213adda/,"
9 990 ",500
